"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)","140/404",4.11657620210626e-12,2.29910780887634e-08,0,0,2.14593137140137,56.2577353669034,"CYFIP2;EPHB6;NCKAP1;CSF1;IRS1;ITSN1;IRS2;FGF1;ACTB;ACTG1;IGF1R;UBASH3B;NAMPT;GRB10;PDK4;ATP6V1E1;EPHB2;EPHB4;EPHB3;EPHA5;PDGFRB;EPHA4;PDGFRA;RBFOX2;ATP6V0E1;HGF;CYBA;GTF2F2;COL4A2;DDIT4;MAPKAPK2;TYRO3;ELMO1;PHIP;ROR1;PRKD1;ATP6V0D1;ATP6V1A;SHC3;SDC2;ARHGEF28;PXN;PIK3R3;PIK3R1;PSEN1;KALRN;EFNA4;FOXO1;EFNB1;FLRT2;FLRT3;PDGFC;ATP6V0A2;ATP6V0A1;NUS1;TIA1;CAV2;INSR;RARRES2;IL31RA;ARPC4;ARPC5;IGF1;NFATC4;COL1A1;HNRNPM;AHI1;NR4A3;ARPC3;HNRNPF;FGFR4;FGFR2;FGF10;CEP57;NRP2;AP2A1;PTPRJ;TCIRG1;WASL;SHB;PIK3C2A;PTPRG;PTBP1;SPRED2;SPRED1;SIPA1L1;CASP3;BDKRB2;BLNK;RAC1;JAK2;HRAS;GIT1;ACTR3;ACTR2;HSP90AA1;ATP6V0B;MMP2;GAB1;NRG1;NGF;MTSS1;DNM1;GIGYF1;PIK3CA;HNRNPH1;PLCB1;ARHGEF7;CRK;MET;ANGPTL1;ROCK1;ROCK2;NEDD9;CBL;EGFR;EFS;CHN1;PTK2B;ZNF106;SHOC2;PAK3;AAMP;WASF2;MPZL1;MAPK3;ANGPT1;GDF15;SORT1;STAT3;VEGFC;PTPN11;SORBS1;SULF1;MERTK;MAPK14;SULF2;VEGFA;MAPK11;FRK"
"regulation of cell migration (GO:0030334)","140/408",9.33179485719769e-12,2.60590371387245e-08,0,0,2.11336441664969,53.6743708886526,"SEMA5A;SERPINE2;CSF1;FAM107A;ADARB1;FGF1;CXCL16;ACTG1;AMOT;IGF1R;PLAU;DPYSL3;DAG1;ENPP2;CPNE3;EPHB2;PDGFRB;SEMA6C;EPHA4;PDGFRA;LMO4;SEMA6D;HGF;TPM1;ACTN4;GTPBP4;RNF41;FRMD5;SFRP1;ADAM17;SFRP2;SMO;RUFY3;SPATA13;MYADM;VCL;NOTCH1;TWIST2;PIK3R3;STC1;THY1;FOXO3;CORO1C;PDCD10;PDGFC;PLXNA2;SRGAP3;PLXNA4;SCAI;CCR1;NTNG1;JAG1;INSR;CAV1;IGF1;ALOX15B;COL1A1;IGSF10;CXCL12;TRIP6;PLXNB2;PLXNB1;AMOTL2;NF2;FERMT2;FGF10;ITGB1;ACVRL1;CLIC4;MCTP1;LDB1;CITED2;PTEN;PIK3CD;PTPRJ;LAMC2;PTPRK;LDB2;ROBO1;DUSP10;MDK;GPER1;PHACTR1;RAC1;HRAS;SUN2;ANXA1;DUSP3;SPHK1;F3;ADRA2A;RHOB;DUSP22;RAP2B;NAV3;TMSB15B;ITGA6;SGK3;MAPRE1;SGK1;ENG;KANK1;LRRC15;GRN;CCL11;ROCK1;ROCK2;SEMA3D;SEMA3A;SEMA3B;CAMK2A;NEDD9;NEXN;PRR5L;THBS1;EGFR;PPM1F;NKD1;GPNMB;CCL7;PDPN;GNA12;GCNT2;FLNA;PTK2B;SLIT2;RNF20;F10;STAT3;SEMA4C;LAMB1;SULF1;TBX5;PODN;SOD2;SORL1;VEGFA;TJP1;MYO1C;SPRY2"
"collagen fibril organization (GO:0030199)","46/89",3.33571897306648e-11,6.20999682152544e-08,0,0,4.28606346960137,103.395914121196,"COL18A1;COL15A1;COL16A1;COL14A1;COL11A1;COL12A1;LAMA3;PLOD3;DPT;LAMC2;PLOD2;LOXL1;LOXL2;ADAMTS2;ADAMTS14;ADAMTS3;SERPINH1;ATP7A;COLGALT1;TGFB2;COL27A1;DST;COL24A1;LAMB3;LUM;GREM1;COL1A1;COL3A1;COL1A2;COL4A2;LOX;COL5A1;COL4A1;P4HA2;COL4A4;COL5A3;COL7A1;COL4A3;PXDN;COL5A2;COL4A5;COL6A3;COL8A1;ITGA6;COL9A2;PLEC"
"extracellular structure organization (GO:0043062)","84/216",1.42249237171915e-10,1.98615497401286e-07,0,0,2.55983290636756,58.0402188506244,"ITGB1;COL18A1;SPARC;COL16A1;COL14A1;ELN;TNC;LAMC2;LAMC1;LOXL1;HAPLN1;ADAMTSL1;ADAMTS5;ADAMTS2;ADAMTS3;ADAMTSL4;ADAMTS1;DAG1;ITGB8;ATP7A;ADAMTS7;POSTN;COL27A1;ITGA4;ITGA3;ITGA2;MMP2;APLP1;ITGA1;BGN;MMP10;ADAM19;MMP11;VCAN;COL4A2;LOX;MMP15;COL4A1;COL4A4;PXDN;ADAM12;COL4A3;ITGA8;COL8A1;MMP19;COL4A5;COL6A3;ITGA7;ITGA6;FBN2;COL15A1;LAMA2;COL11A1;PAPLN;LAMA3;FURIN;NDNF;NID1;NID2;THBS1;FBLN5;THSD4;ADAMTS14;JAM2;VCAM1;COL24A1;LAMB3;LUM;LAMB1;COLQ;COL1A1;MFAP5;COL3A1;COL1A2;COL5A1;COL5A3;ITGA10;COL7A1;COL5A2;ITGA11;MFAP2;ST7;COL9A2;TGFBI"
"external encapsulating structure organization (GO:0045229)","84/217",1.86750612823236e-10,2.08600434523555e-07,0,0,2.54042570248928,56.9087036730423,"ITGB1;COL18A1;SPARC;COL16A1;COL14A1;ELN;TNC;LAMC2;LAMC1;LOXL1;HAPLN1;ADAMTSL1;ADAMTS5;ADAMTS2;ADAMTS3;ADAMTSL4;ADAMTS1;DAG1;ITGB8;ATP7A;ADAMTS7;POSTN;COL27A1;ITGA4;ITGA3;ITGA2;MMP2;APLP1;ITGA1;BGN;MMP10;ADAM19;MMP11;VCAN;COL4A2;LOX;MMP15;COL4A1;COL4A4;PXDN;ADAM12;COL4A3;ITGA8;COL8A1;MMP19;COL4A5;COL6A3;ITGA7;ITGA6;FBN2;COL15A1;LAMA2;COL11A1;PAPLN;LAMA3;FURIN;NDNF;NID1;NID2;THBS1;FBLN5;THSD4;ADAMTS14;JAM2;VCAM1;COL24A1;LAMB3;LUM;LAMB1;COLQ;COL1A1;MFAP5;COL3A1;COL1A2;COL5A1;COL5A3;ITGA10;COL7A1;COL5A2;ITGA11;MFAP2;ST7;COL9A2;TGFBI"
"extracellular matrix organization (GO:0030198)","106/300",4.69400930491742e-10,4.36934032799396e-07,0,0,2.20160863694864,47.2895932905195,"SPARC;COL16A1;COL12A1;TNC;PLOD3;PLOD2;LOXL1;LOXL2;CREB3L1;DAG1;CAPN1;POSTN;COL27A1;APLP1;ADAM19;COL4A2;LOX;COL4A1;COL4A4;ADAM12;COL4A3;COL8A1;COL4A5;FBN2;DPT;NID1;NID2;FBLN5;ADAMTS14;FLRT2;SERPINH1;GPM6B;TGFB2;VCAM1;COL24A1;COL1A1;COL1A2;COL5A1;P4HA2;COL5A3;ITGA10;COL5A2;ITGA11;COL9A2;TGFBI;ITGB1;COL18A1;COL14A1;ELN;LAMC2;LAMC1;CTSS;HAPLN1;ADAMTSL1;ADAMTS5;ADAMTS2;ADAMTS3;ADAMTSL4;ADAMTS1;SH3PXD2B;FLOT1;ITGB8;TIMP1;ATP7A;COLGALT1;ADAMTS7;DST;ITGA4;ITGA3;ITGA2;MMP2;ITGA1;BGN;MMP10;GREM1;MMP11;VCAN;MMP15;PXDN;ITGA8;MMP19;COL6A3;ITGA7;ITGA6;GAS6;PLEC;COL15A1;LAMA2;COL11A1;PAPLN;LAMA3;FURIN;NDNF;THBS1;THSD4;JAM2;GSN;LAMB3;LUM;LAMB1;COLQ;MFAP5;COL3A1;COL7A1;MFAP2;ST7"
"cytoskeleton organization (GO:0007010)","52/120",6.15307035318924e-09,4.90927113179456e-06,0,0,3.06363784496423,57.9221010254694,"CNTNAP1;MAST4;MAST3;MAST2;TNFAIP3;RND2;RND3;CAPZB;ZMYM3;MDK;CFL1;PLCE1;RAC3;RAC1;SH3D19;DST;TPM1;ARAP3;RHOB;ARHGAP10;BIN1;PALLD;PHIP;TNIK;OBSL1;CCL11;RHOBTB3;NEDD9;THY1;FGD1;RHOBTB2;CNN2;FGD4;STRIP2;CCL7;MICAL1;EPB41L3;PACSIN2;WASF3;MARK1;ZRANB1;MICAL3;MICAL2;RANBP9;LARP4;WTIP;FMNL3;DIAPH1;DIAPH3;FMNL2;ZNF135;SIPA1"
"supramolecular fiber organization (GO:0097435)","114/351",2.65745507840196e-08,1.85523582660937e-05,0,0,1.93684810450405,33.7850454281909,"COL16A1;COL12A1;STMN3;PLOD3;PLOD2;LOXL1;LOXL2;CHP1;NCKAP5;COL27A1;TPM4;TPM3;ACTN1;TPM2;TPM1;CLIP1;KATNAL1;COL4A2;LOX;MAP7D3;COL4A1;RUFY3;COL4A4;CLIP4;COL4A3;ELMO1;COL8A1;COL4A5;RHOBTB3;DPT;CORO1B;FBLN5;CORO1C;RHOBTB2;ADAMTS14;UBB;SERPINH1;ZBED3;TGFB2;COL24A1;HOOK3;COL1A1;KIF18A;COL1A2;COL5A1;P4HA2;COL5A3;TRPV4;COL5A2;CORO6;MDM2;TUBGCP6;COL9A2;TGFBI;FGF13;ITM2B;COL18A1;HIP1;HSP90AB1;COL14A1;LMOD1;LAMC2;RND2;RND3;TRIOBP;ADAMTS2;ADAMTS3;RAC3;EMILIN1;RAC1;ATP7A;COLGALT1;DSP;DST;SHROOM2;SHROOM3;EMP2;RHOB;GREM1;PXDN;COL6A3;EVL;ITGA6;ARHGEF2;MAPT;MFGE8;PLEC;COL15A1;TNXB;COL11A1;VPS4B;LAMA3;FIGN;FURIN;CST3;GGA2;DNAJB6;SH3BP1;WHAMM;MARCKSL1;GSN;LAMB3;USP9X;LUM;SNCAIP;SORL1;MFAP4;MYO1E;COL3A1;TPPP3;MARCKS;MYO1C;COL7A1;VIM"
"regulation of G1/S transition of mitotic cell cycle (GO:2000045)","35/71",3.56297083287788e-08,2.21102134462477e-05,0,0,3.88620723280954,66.6487884254608,"RB1;CDKN1A;DDX3X;DCUN1D3;FHL1;FAM107A;JADE1;PTEN;PKD2;PKD1;CDC73;EGFR;CCND3;CCND2;GPNMB;ADAMTS1;E2F7;CDKN2B;ANXA1;CDKN2A;INO80;KLF4;MYO16;RBL2;ADAM17;WEE1;TFDP1;CDK6;RGCC;CDK4;PSME3;CDK2AP2;PSME2;PLCB1;FGF10"
"axon guidance (GO:0007411)","73/203",1.01634830240564e-07,5.6763052689355e-05,0,0,2.25283544303797,36.2748849344988,"EPHB6;SEMA5A;ROBO3;NRP2;USP33;PTPRM;PIK3CD;IRS2;LAMC2;GLI2;ROBO1;ALCAM;RPS6KA5;KIF5B;DAG1;GRB10;NPTN;RAC1;EPHB2;SPTAN1;EPHB4;SCN1B;EPHB3;EPHA5;EPHA4;SEMA6C;UNC5B;SEMA6D;WNT5A;GAB1;GFRA1;GAB2;SMO;PIK3CA;DOK5;PALLD;FEZ1;DOK6;EVL;SPTBN4;NOTCH3;NOTCH1;SHC3;LAMA2;SEMA3D;SEMA3A;LAMA3;SEMA3B;NRXN3;NTN4;NEXN;PIK3R1;EFNA4;NTN1;EFNB1;MAPK7;GPC1;CHN1;PLXNA2;SLIT2;PLXNA4;PDLIM7;MAPK3;VASP;LGI1;SEMA4C;RANBP9;PTPN11;VEGFA;CXCL12;GDNF;PLXNB2;PLXNB1"
