"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"negative regulation of nucleic acid-templated transcription (GO:1903507)","79/464",1.95868589959094e-08,8.8434668366531e-05,0,0,2.13086913086913,37.8195325024288,"KDM1A;LDB1;NAB1;CTCF;BRCA1;PTPRK;RBPJ;FOXM1;NR3C1;GLI3;IKZF4;LOXL2;RPS6KA5;SIX4;CREB3L1;DPF3;SOX9;CIC;SAMD11;PRMT6;KLF10;ZHX2;RBFOX2;MSX2;WNT5A;NRG1;CBFA2T2;ZHX1;FOXP1;SFRP2;TFDP2;DDIT3;IRF1;TIMELESS;TRIB3;ATF5;PLCB1;ZFPM2;TP53;HDAC2;NOTCH1;CTBP1;GATA6;HDAC9;PPM1F;TCEAL7;ATXN1;IFI16;ZKSCAN3;DMAP1;ZNF423;RUNX1T1;ZNF540;TFAP2A;ATF7IP;HSPA8;KDM4A;JUN;PHC1;CBX5;CDKN2A;NONO;HMGA1;NR0B1;NR1D2;KLF4;TRERF1;TBX3;PER2;CENPF;BCL3;SP3;BHLHE40;MDM2;ZNF658;PDCD4;RCOR2;EZH2;LIMS1"
"collagen fibril organization (GO:0030199)","25/89",1.64795496457634e-07,0.000372025833253108,0,0,4.00357521186441,62.5300818516317,"COL15A1;COL16A1;COL14A1;COL12A1;PLOD2;LOXL1;LOXL2;ADAMTS14;SERPINH1;ATP7A;TGFB2;COL27A1;DST;COL24A1;LAMB3;LUM;GREM1;COL1A1;COL3A1;COL1A2;COL5A1;P4HA2;COL4A5;COL6A3;COL9A2"
"negative regulation of cellular macromolecule biosynthetic process (GO:2000113)","85/547",3.71006022790343e-07,0.000558364064299466,0,0,1.90900863269284,28.2667815795737,"BTG2;CDKN1A;KDM1A;LDB1;NAB1;CTCF;BRCA1;PTPRK;RBPJ;FOXM1;NR3C1;GLI3;IKZF4;LOXL2;RPS6KA5;SIX4;CREB3L1;ENC1;DPF3;SOX9;CIC;SAMD11;TSPYL2;PRMT6;KLF10;ZHX2;RBFOX2;MSX2;WNT5A;NRG1;CBFA2T2;ZHX1;FOXP1;PATL2;SFRP2;TFDP2;DDIT3;IRF1;TIMELESS;TRIB3;ATF5;PLCB1;ZFPM2;TP53;HDAC2;NOTCH1;CTBP1;GATA6;TYMS;HDAC9;PPM1F;TCEAL7;ATXN1;IFI16;ZKSCAN3;DMAP1;ZNF423;RUNX1T1;ZNF540;TFAP2A;ATF7IP;HSPA8;KDM4A;JUN;PHC1;CBX5;CDKN2A;NONO;HMGA1;NR0B1;NR1D2;KLF4;TRERF1;TBX3;PER2;CENPF;BCL3;SP3;BHLHE40;MDM2;ZNF658;PDCD4;RCOR2;EZH2;LIMS1"
"negative regulation of transcription, DNA-templated (GO:0045892)","129/948",9.49487378163151e-07,0.00107173387810166,0,0,1.64373001948032,22.7941689656415,"ZNF692;KDM1A;EHMT2;NAB1;RBPJ;NR3C1;IKZF4;LOXL2;RPS6KA5;CREB3L1;DPF3;SOX9;SAMD11;OSR2;MEF2C;RBFOX2;MSX2;FST;WNT5A;ZNF10;FOXP1;SFRP2;TBL1XR1;DDIT3;TIMELESS;ZNF436;TRIB3;ATF5;MZF1;ZFPM2;TP53;ATF4;PSMD10;ZNF274;NOTCH1;CTBP1;GATA6;NEDD4L;ZBTB2;ATXN1;UBB;ZKSCAN3;HIVEP1;DMAP1;ZNF423;TFAP2A;ZNF540;HSPA8;JUN;PHC1;CBX5;SMAD3;NONO;NR2F1;HMGA1;NR0B1;NR1D2;TRERF1;ESR1;DRAP1;SP3;BHLHE40;BCL3;MDM2;ZNF658;TCF3;RCOR2;FGFR2;EZH2;LDB1;CTCF;BRCA1;PTPRK;LDB2;FOXM1;GLI3;GLI2;SIX4;SUFU;DNMT3B;ZNF248;CIC;PRMT6;KLF10;ZHX2;TGIF2;DNMT3A;NRG1;CBFA2T2;PARP9;ZHX1;ZFP90;ZEB2;CREB1;TFDP2;NFX1;IRF1;PLCB1;JDP2;ZNF596;HDAC2;NFIX;SATB1;ZNF3;CXXC5;HDAC9;PPM1F;DNAJB1;TCEAL7;IFI16;HSF4;ZNF589;E2F7;RUNX1T1;ATF7IP;KDM4A;CDKN2A;PCGF2;ZNF79;KLF4;MEIS2;TBX3;VEGFA;PER2;CENPF;PER3;PDCD4;FRK;LIMS1"
"mesenchymal cell differentiation (GO:0048762)","16/51",5.68781425952907e-06,0.00487467411311204,0,0,4.66907572472497,56.3892890690493,"MEF2C;CUL7;TGFB2;AKNA;NOTCH1;FOXF2;HGF;WNT5A;RBPJ;LOXL2;LRP6;S100A4;SOX9;FGFR2;ENG;LIMS1"
"extracellular matrix organization (GO:0030198)","51/300",6.47797224333826e-06,0.00487467411311204,0,0,2.10879297004532,25.1939668651633,"SPARC;COL16A1;COL14A1;COL12A1;TNC;PLOD2;CTSS;LOXL1;LOXL2;ADAMTSL1;CREB3L1;ITGB8;TIMP1;ATP7A;POSTN;COL27A1;DST;ITGA2;MMP2;APLP1;BGN;MMP10;GREM1;MMP11;VCAN;ADAM12;COL4A5;COL6A3;ITGA7;COL15A1;NDNF;THSD4;ADAMTS14;FLRT2;SERPINH1;TGFB2;VCAM1;COL24A1;LAMB3;LUM;COLQ;COL1A1;COL3A1;COL1A2;COL5A1;P4HA2;ITGA11;MFAP2;ST7;COL9A2;TGFBI"
"positive regulation of glial cell differentiation (GO:0045687)","9/18",8.50551620083603e-06,0.00548605794953924,0,0,10.1881298992161,118.944334528654,"EGR2;NOTCH1;SERPINE2;TENM4;BIN1;MDK;IL34;PTN;ZNF365"
"nervous system development (GO:0007399)","68/447",1.10576876220192e-05,0.00624068245167711,0,0,1.85195857198949,21.1352635969955,"CHRM2;SEMA5A;SH3GL3;DAGLA;LDB1;NAB1;PTEN;STMN3;LDB2;RAPGEFL1;ROBO1;MDK;PRX;ADORA1;DPF3;EPHB2;CDK5RAP2;MYLIP;MEF2C;RBFOX2;APLP1;NRG1;GFRA1;NGF;ALDH3A2;DNM3;ZEB2;VCAN;SMO;FEZ1;NINJ1;TYRO3;EVL;PAFAH1B3;PRPS1;ZC4H2;PTN;CLN8;KALRN;ATXN1;ACVR1C;FLRT3;PDGFC;SLITRK6;PCDH1;ASIC2;WNT2;LGI1;GDF11;MBD5;MARCKSL1;EGR2;JAG1;GSS;LIMK1;MERTK;TBX3;VEGFA;AHI1;SDK1;MARCKS;DLG4;PMP22;DCHS1;TPP1;SCN2A;FGF13;NES"
"regulation of transcription, DNA-templated (GO:0006355)","257/2244",1.4045478042455e-05,0.00704614815129827,0,0,1.36388017562793,15.2389197010072,"SMARCAL1;SMARCB1;RBPJ;IKZF4;RPS6KA5;ZSCAN31;ZMIZ1;ZSCAN30;CREB3L1;HOXA3;HOXA2;DPF3;SOX9;ZNF841;SOX4;PKNOX2;CDK5RAP2;SAMD11;MEF2C;RBFOX2;ZFP1;RFX2;ZNF10;SOX12;ZNF16;SFRP2;RFX7;DDIT3;RFX5;TRIB3;TRIM16;ATF5;ZFPM2;TP53;ATF4;ZNF154;ZNF274;CRABP2;EPAS1;CTBP1;MAGED1;TSHZ1;GATA6;XPC;BAZ2B;ZBTB2;HIVEP1;ZNF821;TP53BP1;HIVEP2;CDK17;NFE2;CDK18;JUN;EGR2;AFAP1L2;EGR3;PHC1;JUND;FOXF2;ZNF260;FZD7;IL31RA;NR2F1;PBX2;NR1D2;NR0B1;IGF1;TRERF1;NFATC4;COL1A1;MLLT11;ZFAT;ZNF30;ZNF138;RCOR2;SLC2A4RG;ZNF135;EZH2;FANK1;SETD5;CDKN1A;CSRNP3;ZNF250;ZNF43;ZNF45;CTCF;BRCA1;PTPRK;LITAF;GLI3;GLI2;SUFU;SPIN1;ZNF248;CIC;ZNF488;TEAD2;PRMT6;SREBF1;BATF2;ZHX2;TFEB;PROX2;CBFA2T2;PARP9;RGMB;ZHX1;MLF1;ZEB2;AEBP2;NFX1;AHRR;ZNF117;MAPRE3;PLCB1;JDP2;ZNF233;ENG;ZNF596;PCNA;NFIX;SATB1;ZNF3;TYMS;EGFR;TCEAL7;ZFP14;HSF4;ZNF226;ZNF589;RUNX1T1;NFYA;CDKN2A;ZNF79;AGT;VEGFA;PER2;CENPF;CAMK4;ZNF74;ZNF697;LIMS1;ZNF211;ZNF692;KDM1A;NAB1;HR;NUCKS1;ZBTB22;NR3C1;CARF;LOXL2;NR3C2;FOXQ1;SALL2;ZNF84;ZNF85;ZNF326;ZNF445;OSR2;ZNF561;MSX2;MAMSTR;WNT5A;DYRK1B;FOXP1;MAF;TBL1XR1;TIMELESS;ZNF436;PHIP;TOX;MZF1;ZNF793;NOTCH1;KMT2A;ATXN1;ZKSCAN7;ZKSCAN3;DVL2;ZNF667;DMAP1;ZNF423;ZKSCAN1;TFAP2A;TRAPPC2;ZNF540;HSPA8;SMAD1;CBX5;SMAD3;NONO;HMGA1;SMAD9;ZBTB12;POU2F2;ESR1;DRAP1;MAFB;SP3;BHLHE40;BCL3;MDM2;ZNF658;PHF14;SP5;TCF3;LHX4;ZSCAN2;LDB1;BNC2;HMGB3;PSIP1;CHD4;FOXM1;DBP;SIX4;ZNF528;NUP62;MYBL1;ZNF521;KLF10;TGIF2;ATRX;NRG1;ZFP90;CREB1;TFDP2;IRF1;ZNF510;ZNF630;CREB5;HDAC2;ZBTB46;CEBPG;HDAC9;PPM1F;LRP6;IFI16;E2F7;TRIM45;ZNF286A;ATF7IP;RNF20;KDM4A;TCF7L1;PRRX1;ZNF184;USP22;TBX5;KLF4;MEIS2;TBX3;TBX18;PDCD4;SSBP2"
"extracellular structure organization (GO:0043062)","39/216",1.89394379279986e-05,0.00855115622449138,0,0,2.26211343191383,24.598818989331,"COL15A1;SPARC;COL16A1;COL14A1;TNC;NDNF;LOXL1;THSD4;ADAMTSL1;ADAMTS14;ITGB8;ATP7A;POSTN;COL27A1;VCAM1;COL24A1;LAMB3;LUM;ITGA2;MMP2;APLP1;BGN;MMP10;COLQ;COL1A1;MMP11;COL3A1;VCAN;COL1A2;COL5A1;ADAM12;ITGA11;MFAP2;ST7;COL4A5;COL6A3;ITGA7;COL9A2;TGFBI"
