"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"membrane organization (GO:0061024)","62/242",1.0489090182134e-10,5.06727946698895e-07,0,0,2.8491422910475,65.4678774358291,"HIP1;ITSN1;CLTB;AP2A1;WASL;FNBP1L;PIK3C2A;ACTB;ACTG1;RIMS1;TMEM43;CHP1;A4GALT;DNM1L;AGFG1;SH3GLB1;ACTR3;ACTR2;SUN2;FNBP1;MYOF;EPN2;BTC;NUP93;NPC1;TMEM33;DNAJC6;MYADM;TLCD2;AMPH;VAMP2;NAPA;SAR1A;SAR1B;VPS4B;VPS4A;TOR1AIP2;CBL;NAPG;STX11;CORO1C;SYNGR2;CLTCL1;FCHO2;PACSIN2;APOB;LDLR;TOR1A;DMPK;GCA;FZD4;PLEKHA3;ARPC4;ARPC5;PLEKHA8;VAPA;ARPC3;REEP4;VAPB;LPCAT3;REEP3;PICALM"
"transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)","87/404",4.19141131281722e-10,1.012435402611e-06,0,0,2.27924721615573,49.215359885362,"EPHB6;NCKAP1;NRP2;CSF1;IRS1;ITSN1;IRS2;AP2A1;PTPRJ;TCIRG1;WASL;FGF1;PIK3C2A;ACTB;PTPRG;ACTG1;IGF1R;PTBP1;SPRED2;SPRED1;UBASH3B;CASP3;NAMPT;GRB10;PDK4;RAC1;JAK2;ATP6V1E1;HRAS;GIT1;ACTR3;PDGFRB;ACTR2;EPHA4;PDGFRA;ATP6V0B;ATP6V0E1;CYBA;MTSS1;GIGYF1;PIK3CA;COL4A2;HNRNPH1;DDIT4;MAPKAPK2;ELMO1;ROR1;PRKD1;CRK;MET;ANGPTL1;SHC3;ROCK1;ROCK2;SDC2;ARHGEF28;NEDD9;PIK3R1;PSEN1;CBL;FOXO1;ATP6V0A2;PTK2B;ZNF106;SHOC2;AAMP;WASF2;MPZL1;FGF22;ATP6V0A1;NUS1;ANGPT1;SORT1;CAV2;INSR;STAT3;ARPC4;PTPN11;ARPC5;SORBS1;SULF1;MAPK14;HNRNPM;MAPK11;NR4A3;ARPC3;HNRNPF"
"regulation of cell migration (GO:0030334)","80/408",1.58618629737192e-07,0.000255428866753458,0,0,2.01759144898595,31.5889512908072,"ITGB1;ACVRL1;CLIC4;MCTP1;CSF1;CITED2;FAM107A;PIK3CD;PTPRJ;LAMC2;ADARB1;FGF1;ACTG1;IGF1R;DAG1;CPNE3;RAC1;HRAS;PDGFRB;SEMA6C;EPHA4;PDGFRA;SUN2;ANXA1;DUSP3;MMP7;SPHK1;TPM1;ACTN4;F3;GTPBP4;RNF41;RHOB;DUSP22;SFRP1;ADAM17;NAV3;MYADM;ITGA6;SGK3;MAPRE1;SGK1;VCL;KANK1;ROCK1;ROCK2;TWIST2;STC1;NEDD9;NEXN;PRR5L;FOXO3;THBS1;NKD1;CORO1C;PDCD10;PDPN;GNA12;GCNT2;FLNA;PTK2B;SLIT2;PLXNA4;FGF22;F10;INSR;CAV1;STAT3;SEMA4C;LAMB1;SULF1;SOD2;ALOX15B;TJP1;MYO1C;SPRY2;PLXNB1;AMOTL2;NF2;FERMT2"
"glycerophospholipid biosynthetic process (GO:0046474)","43/177",3.65942630437179e-07,0.000357649016602843,0,0,2.63776119402985,39.0937027835495,"ARF3;AGPAT5;ARF1;SLC44A3;MTMR12;SLC44A1;ABHD3;SLC44A2;MTMR14;PIK3CD;ABHD5;PIK3R1;PIK3C2A;LCLAT1;AGPAT2;MTMR7;IMPA1;PLCG2;INPP5K;PIP5K1A;CPNE3;CDIPT;PCYT2;PLEKHA1;STARD7;PLEKHA2;SACM1L;PLA2G2A;PLEKHA3;CRLS1;PISD;PLEKHA8;PIK3CA;ETNK1;LPCAT3;PEMT;FAR1;PIK3C3;GPD1L;LPIN1;LPIN3;DGKH;CDS2"
"Ras protein signal transduction (GO:0007265)","37/142",3.70160439456471e-07,0.000357649016602843,0,0,2.89325028712784,42.8470962642715,"RB1;NCKAP1;SHC3;RALB;ROCK1;ROCK2;ARHGAP1;RASGRP2;NTN1;EPS8;RAP1B;RASSF1;NRAS;RRAS;ARHGDIA;CFL1;G3BP1;GNA12;PDPN;PLCE1;SHOC2;RAC1;WASF1;HRAS;CTNNAL1;FARP2;ARHGAP29;RRAS2;MAPK14;RHOB;CCNA2;MAPK11;CDC42EP3;ELMO1;ARHGEF1;PRKD1;KPNB1"
"positive regulation of endothelial cell migration (GO:0010595)","26/86",9.51766150686942e-07,0.000766330378994769,0,0,3.54885402245808,49.2046710596158,"CD40;NRP2;ROCK2;HSPB1;PIK3CD;FGF1;HIF1A;THBS1;RRAS;AKT3;ATOH8;PTK2B;RAC1;AAMP;MAP2K3;STAT5A;NUS1;ANGPT1;MAPK14;RHOB;ADAM17;ITGB1BP1;PRKD1;MET;RIN2;LGMN"
"cytoskeleton organization (GO:0007010)","32/120",1.28427599159998e-06,0.000814859635975274,0,0,2.98161625510075,40.4465649888701,"MAST3;RHOBTB3;TNFAIP3;NEDD9;RHOBTB2;RND1;CNN2;FGD4;CAPZB;MICAL1;CFL1;PACSIN2;PLCE1;RAC3;RAC1;WASF3;MARK1;SH3D19;ZRANB1;TPM1;MICAL2;RANBP9;LARP4;WTIP;RHOB;DIAPH1;ARHGAP10;DIAPH3;FMNL2;PALLD;OBSL1;SIPA1"
"negative regulation of programmed cell death (GO:0043069)","73/381",1.34938461763655e-06,0.000814859635975274,0,0,1.95636333006616,26.4419366114948,"AVEN;ANKLE2;TNFAIP8;DDX3X;CITED2;FHL2;HSPB1;TM7SF3;IGF1R;IKBKB;RNF157;AIFM2;MYC;ARHGDIA;CASP3;CFL1;TMEM14A;BNIP3L;USP47;ANXA1;ANXA4;SPHK1;SERPINB9;DKK1;DNAJC3;RNF144B;ARHGAP10;SFRP1;CAT;PPIF;BIRC6;TMBIM6;ANGPTL4;GAS6;RAF1;CRYAB;MET;PRKAA1;TAF9;PIK3R1;PSEN1;HIGD1A;CBL;FSTL1;THBS1;RELA;FOXO1;MALT1;MTDH;PRDX3;NUAK2;GRK5;PDCD10;BAG3;PDPN;FLNA;BNIP2;PTK2B;MCL1;OPN3;ANGPT1;WFS1;DHCR24;CFLAR;HIPK3;TJP1;NFKBIA;ITCH;PSMC5;GOLPH3;GDNF;SPRY2;BCL2L2"
"regulation of focal adhesion assembly (GO:0051893)","19/54",2.20655744517414e-06,0.00107239403805353,0,0,4.43774477592325,57.7975295528264,"ACVRL1;DUSP3;ROCK1;ROCK2;DAPK3;FAM107A;PTPRJ;THBS1;ACTG1;CORO1C;DUSP22;SFRP1;PEAK1;ITGB1BP1;APOD;RAC1;VCL;GPM6B;FERMT2"
"cellular response to growth factor stimulus (GO:0071363)","38/158",2.21981792186613e-06,0.00107239403805353,0,0,2.59901778808971,33.8342354763029,"ACVRL1;HSPB1;ACVR1B;CORO1B;ZFP36L2;RELA;TMEM100;DLL4;ZFP36;MAPK7;ANKRD1;INPP5K;CPNE3;SOX5;ADAMTS7;MAP2K3;STAT5B;ANXA1;DUSP3;SPHK1;PTPN11;PTPN12;MAPK14;KNSTRN;BMP6;TGFBR2;EHD1;DUSP22;NR4A1;SFRP1;CILP;MAPKAPK2;RAB35;SPRY2;ITGB1BP1;PRKD1;BMPR1B;LGMN"
"cellular response to chemical stress (GO:0062197)","28/101",2.53653452434847e-06,0.00111399984428431,0,0,3.14183934955234,40.4816944435277,"VKORC1L1;PRKAA1;DDX3X;LRRK2;PRR5L;FOXO3;PKD2;FOXO1;PRDX3;ERMP1;ALDH3B1;STX2;GPX1;GPX3;CAV1;TXNRD1;GSR;CYBA;PYCR2;SOD2;PRDX6;ETV5;PINK1;PIK3CA;TRPV4;CAT;ATP13A2;PRKD1"
"extracellular structure organization (GO:0043062)","47/216",3.11941486706296e-06,0.00123017495456143,0,0,2.28576076586687,28.9785666778804,"FBN2;ITGB1;COL18A1;LAMA2;ELN;COL11A1;PAPLN;LAMA3;LAMC2;FURIN;LAMC1;NID1;NID2;THBS1;FBLN5;HAPLN1;ADAMTS5;ADAMTS2;ADAMTS3;ADAMTSL4;ADAMTS1;MMP28;DAG1;ADAMTS7;COL28A1;MMP7;ITGA4;ITGA3;ITGA1;LAMB1;ADAM19;MFAP5;COL4A2;LOX;MMP15;COL4A1;COL4A4;COL5A3;ITGA10;COL7A1;PXDN;COL4A3;COL5A2;ITGA8;COL8A1;MMP19;ITGA6"
"negative regulation of intracellular signal transduction (GO:1902532)","44/198",3.56117352610309e-06,0.00123017495456143,0,0,2.34700525161205,29.4441676217582,"PRKAA1;DDX3X;MSTN;WWC1;ITPR1;TNFAIP3;PTPRJ;RORA;ADIPOR1;TANK;THBS1;RELA;HERPUD1;ARNTL;HDAC7;RNF157;SPRED1;TMEM127;DAG1;WWC3;INPP5K;SLIT2;XDH;MCL1;MAP2K3;DUSP3;TLE1;PLEKHA1;DUSP1;RIOK3;STAT1;CAV1;WTIP;MAPK14;PER1;PPM1B;PINK1;TNIP1;DDIT4;MYADM;PPIF;GPD1L;PPARA;BCL2L2"
"external encapsulating structure organization (GO:0045229)","47/217",3.56498641355e-06,0.00123017495456143,0,0,2.27218628364673,28.5031007233915,"FBN2;ITGB1;COL18A1;LAMA2;ELN;COL11A1;PAPLN;LAMA3;LAMC2;FURIN;LAMC1;NID1;NID2;THBS1;FBLN5;HAPLN1;ADAMTS5;ADAMTS2;ADAMTS3;ADAMTSL4;ADAMTS1;MMP28;DAG1;ADAMTS7;COL28A1;MMP7;ITGA4;ITGA3;ITGA1;LAMB1;ADAM19;MFAP5;COL4A2;LOX;MMP15;COL4A1;COL4A4;COL5A3;ITGA10;COL7A1;PXDN;COL4A3;COL5A2;ITGA8;COL8A1;MMP19;ITGA6"
"cellular response to vascular endothelial growth factor stimulus (GO:0035924)","14/34",5.75675162501717e-06,0.0018540578066972,0,0,5.71404313905461,68.940714418433,"MAP2K3;NUS1;ANXA1;SPHK1;HSPB1;MAPK14;RELA;DLL4;NR4A1;PIK3CA;MAPKAPK2;SPRY2;ITGB1BP1;PRKD1"
"ethanol oxidation (GO:0006069)","8/12",6.80036022400479e-06,0.00205328376513545,0,0,16.295652173913,193.894387300239,"ADH1C;ALDH1B1;ALDH2;ADH1B;ADH1A;ACSS1;ADH5;ADH6"
"cellular protein modification process (GO:0006464)","156/1025",1.14962715027952e-05,0.0032664283259206,0,0,1.49271164695933,16.9773376941355,"GMFB;CSF1;NRK;DCAF6;CDC14B;PSMD8;PPP1CB;LIPE;NRBP2;PTAR1;PSMD7;AKT3;PDK4;MAP3K6;SKP2;MAP3K5;FBXO9;TGM2;RAB2A;MAP2K1;PRKCH;DAPK2;ALG5;DAPK3;KLHL42;LOX;PSME3;MAPKAPK2;SPARCL1;PRKD1;SIK2;OBSL1;CDKL1;SDC2;DCUN1D3;RPN1;CUL1;HIF1A;LTBP1;FUT4;MTMR7;UGCG;NUAK1;NUAK2;GRK5;STC2;STK38L;ABL2;NAE1;APOB;MARK1;NUS1;KLHL25;DMPK;TIPARP;WFS1;ZBTB16;INSR;B3GALT4;KLHL21;FBXO32;SSH2;PTPRE;PPP5C;CDK7;UBLCP1;UBA3;FBXL3;STT3B;BMPR1B;FBXL7;ACVRL1;LRRK2;PRKAG2;PIK3CD;PTPRM;PTPRJ;LAMC1;HIF3A;CHRDL1;DDA1;PTPRG;IKBKB;UBL5;B3GALT2;B3GALT1;JAK2;DSP;DUSP5;PPP1R12A;ANXA1;CHUK;DUSP1;STRADB;IRAK3;WIPI1;WIPI2;OXSR1;TGFBR2;PSMA5;DNAJC3;PTP4A2;PPM1B;NPC1;MMP15;PEAK1;B3GNT5;FAM20C;BIRC6;PIK3C3;SGK3;FAM20A;MFGE8;GAS6;SGK1;B4GALT5;PRKAA1;CAMK2D;ROCK1;ROCK2;ASB13;GLRX;ACVR1B;FSTL1;THBS1;PSMA7;FSTL3;CAMKK2;CST3;PPP2CB;GCNT2;PTK2B;MGAT1;DCAF10;DCAF13;MAP4K3;PTPN18;LAMB1;PTPN12;HIPK3;MTOR;PPP1CA;HIPK2;PSMC5;PINK1;SNRK;PDP2;TAOK3;STK17B;CTH;QPCT;PTPN9;ASB5;PTPN3;PNPLA2;ASB1"
"regulation of apoptotic process (GO:0042981)","119/742",1.21705050437944e-05,0.0032664283259206,0,0,1.5826118990606,17.9096198843985,"ANKRD13C;ANKLE2;ITSN1;IGF1R;MYC;RPS6KA2;ARHGDIA;CFL1;ARL6IP5;SKP2;TMEM14A;MAP3K5;TGM2;BNIP3L;DAPK2;ACTN1;DAPK3;ACTN4;DKK1;SFRP1;PPIF;NSMF;RAF1;SLC27A4;DCUN1D3;PIK3R1;PSEN1;FOXO3;HIGD1A;FOXO1;MTDH;PRDX3;NUAK2;GRK5;BAG3;PDCD10;NAE1;MCL1;MOAP1;OPN3;GADD45B;WFS1;DHCR24;CIDEC;NFKBIA;BCL6;GDNF;RNPS1;NF2;BCL2L2;ITGB1;AVEN;TNFAIP8;HIP1;DDX3X;CITED2;FHL2;HSPB1;IKBKB;RNF157;AKAP13;ADAMTSL4;AIFM2;CASP3;ANKRD1;JAK2;DNM1L;USP47;ANXA1;ARHGEF12;ANXA4;SPHK1;ARHGEF17;ARHGEF19;PAWR;SERPINB9;ANO6;RHOB;DNAJC3;RNF144B;ARHGAP10;CAT;BIRC6;ITGA6;TMBIM6;ARHGEF1;ANGPTL4;GAS6;SGK1;CRYAB;SOS2;PRKAA1;TAF9;CBL;FSTL1;THBS1;MALT1;RELA;FGD4;FRZB;PDPN;FLNA;BNIP2;PTK2B;HS1BP3;ZNF622;SLIT2;ANGPT1;STAT1;CFLAR;PNMA2;HIPK3;TJP1;PINK1;ITCH;GOLPH3;RYBP;STK17B;SPRY2"
"negative regulation of apoptotic process (GO:0043066)","84/485",1.43223126455123e-05,0.0034545971077068,0,0,1.72884999450165,19.283060200526,"RB1;ITGB1;AVEN;ANKLE2;TNFAIP8;DDX3X;CITED2;FHL2;HSPB1;IGF1R;IKBKB;RNF157;NRBP2;MYC;ARHGDIA;CASP3;CFL1;PDK4;TMEM14A;BNIP3L;USP47;PRKCH;ANXA1;TLE1;GPX1;ANXA4;SPHK1;SERPINB9;DKK1;DNAJC3;RNF144B;ARHGAP10;SFRP1;PIK3CA;CAT;PPIF;BIRC6;TMBIM6;ANGPTL4;GAS6;RAF1;CRYAB;YAP1;PRKAA1;TAF9;PIK3R1;PSEN1;HIGD1A;CBL;FSTL1;THBS1;FOXO1;MALT1;RELA;MTDH;PRDX3;NUAK2;DNAJB6;GRK5;BAG3;PDCD10;PDPN;FLNA;BNIP2;PTK2B;MCL1;OPN3;ANGPT1;WFS1;CAV1;DHCR24;CFLAR;SOD2;HIPK3;TJP1;NFKBIA;PINK1;ITCH;GOLPH3;GDNF;SPRY2;BCL2L2;LGMN;LAMTOR5"
"positive regulation of lamellipodium organization (GO:1902745)","13/32",1.48181385793375e-05,0.0034545971077068,0,0,5.58290680830517,62.0800174132055,"ACTR3;NCKAP1;ACTR2;AKIRIN1;MSTN;AUTS2;PIK3R1;CORO1B;CORO1C;PIK3CA;PLCE1;RAC1;WASF2"
"regulation of G1/S transition of mitotic cell cycle (GO:2000045)","21/71",1.50168783402697e-05,0.0034545971077068,0,0,3.43367403314917,38.1355367257802,"RB1;DDX3X;ANXA1;DCUN1D3;FHL1;FAM107A;JADE1;INO80;PKD2;PKD1;CDC73;MYO16;RBL2;CCND3;ADAM17;WEE1;TFDP1;RGCC;ADAMTS1;PSME3;CDK2AP2"
"positive regulation of lamellipodium assembly (GO:0010592)","11/24",1.71908052663758e-05,0.00377494455644826,0,0,6.90030317986322,75.7041639003487,"ACTR3;ACTR2;NCKAP1;AKIRIN1;AUTS2;MSTN;PIK3CA;PLCE1;PIK3R1;RAC1;WASF2"
"negative regulation of endothelial cell proliferation (GO:0001937)","14/37",1.83741028302187e-05,0.00377609341496515,0,0,4.96789512540655,54.1727518990792,"CAV2;STAT1;CAV1;PTPRM;NR2F2;SULF1;THBS1;DLL4;RGCC;PDCD10;ATOH8;COL4A3;PPARG;XDH"
"cellular response to insulin stimulus (GO:0032869)","31/129",1.87593131772229e-05,0.00377609341496515,0,0,2.59103909834054,28.2004037450793,"HDAC5;IRS1;INSIG2;IRS2;PIK3R1;TCIRG1;PIK3C2A;FOXO1;IGF1R;NAMPT;GRB10;PDK4;ATP6V0A2;ENPP1;INPP5K;ZNF106;ATP6V1E1;ATP6V0A1;ATP6V0B;ATP6V0E1;CAV2;INSR;INHBB;SORBS1;RAB31;TBC1D4;PPARG;LPIN1;VAMP2;LPIN3;SLC27A4"
"cellular response to oxidative stress (GO:0034599)","30/125",2.60770927303559e-05,0.00503913739921398,0,0,2.58588218118111,27.2925727262223,"VKORC1L1;PRKAA1;LRRK2;PRR5L;FOXO3;PKD2;HIF1A;FOXO1;ARNTL;CAMKK2;PRDX3;ERMP1;ALDH3B1;STX2;PDGFRA;GPX1;CHUK;GPX3;TXNRD1;TPM1;GSR;CYBA;PYCR2;SOD2;PRDX6;ETV5;PINK1;CAT;ATP13A2;PRKD1"
