"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Focal adhesion","91/201",5.49167333911045e-16,1.7353687751589e-13,0,0,3.3383357995006,117.30287223615,"ITGB1;TNC;PTEN;PIK3CD;LAMC2;LAMC1;ELK1;ACTB;ACTG1;IGF1R;PPP1CB;CCND3;CCND2;AKT3;RAC3;ITGB8;RAC1;HRAS;PDGFRB;PDGFRA;MAP2K1;PPP1R12A;ITGA4;ITGA3;ACTN1;HGF;ITGA2;ITGA1;ACTN4;COL4A2;PIK3CA;COL4A1;COL4A4;COL4A3;ITGA8;COL4A5;COL6A3;ITGA7;COL6A6;ITGA6;TLN2;TLN1;RAF1;PPP1R12B;MYL9;CRK;MET;PPP1R12C;SOS2;VCL;TNXB;SHC3;LAMA2;ROCK1;ROCK2;PXN;LAMA3;PIK3R3;PIK3R1;THBS2;THBS1;MYL12A;EGFR;MYL12B;RAP1B;PDGFC;PIP5K1A;FLNA;FLNB;PAK3;MAPK3;VASP;JUN;LAMB3;CAV2;CAV1;VEGFC;PARVA;LAMB1;IGF1;PPP1CA;VEGFA;COL1A1;MAPK10;DIAPH1;COL1A2;ITGA10;ITGA11;ZYX;BCL2;COL9A2"
"Pathways in cancer","180/531",3.53784424009311e-14,5.58979389934711e-12,0,0,2.08517651140602,64.5834917613975,"RB1;FGF1;ELK1;IGF1R;EDNRA;RASSF1;CCND3;EDNRB;RPS6KA5;CCND2;MYC;AKT3;PIM1;IL12A;SKP2;PRKACB;IL6R;PDGFRB;PDGFRA;MAP2K1;RALBP1;DAPK1;TPM3;DAPK2;HGF;DAPK3;WNT5A;RUNX1;MSH2;SMO;COL4A2;COL4A1;COL4A4;COL4A3;COL4A5;RAF1;TP53;NOTCH3;NOTCH1;CTBP1;EPAS1;CUL1;LPAR1;PIK3R3;PIK3R1;PLD1;RASGRP2;HIF1A;FOXO1;BCL2L11;PLCG2;DVL2;HMOX1;RALGDS;WNT2;JAG2;STAT5A;GSTM3;STAT5B;GSTM2;JUN;TGFB2;JAG1;SMAD3;FZD5;GADD45B;FZD4;FZD7;ZBTB16;FZD6;FZD8;IGF1;GNG11;ESR1;GADD45G;NFKBIA;CDK6;CXCL12;CDK4;GNAQ;GNB2;BCL2;MDM2;GNB4;CALM1;FGFR4;FGFR2;GSTM5;FGF10;ITGB1;CDKN1A;HSP90AB1;PTEN;PIK3CD;LAMC2;LAMC1;GLI3;BBC3;GLI2;IKBKB;SUFU;CASP3;BDKRB2;RAC3;BDKRB1;RAC1;JAK2;HRAS;HSP90AA1;ARHGEF12;CHUK;GSTO1;IFNGR1;ITGA3;ITGA2;PLEKHG5;NCOA3;MMP2;AXIN2;DDB2;TGFBR2;CCNA2;PLCB4;PIK3CA;TRAF4;TRAF3;PPARG;ITGA6;ARHGEF1;PLCB1;CRK;MET;SOS2;FH;HDAC2;CAMK2D;RALA;RALB;ROCK1;LAMA2;ROCK2;CAMK2A;LAMA3;ADCY4;ADCY3;ADCY1;ADCY8;PTGS2;CBL;DLL1;EGFR;GNAI1;RELA;LRP6;DLL4;NRAS;RXRA;GNG2;GNG5;GNA12;RUNX1T1;MAPK3;ARNT2;NQO1;CDKN2B;TCF7L1;LAMB3;CDKN2A;STAT1;TXNRD1;STAT3;VEGFC;LAMB1;MLH1;AGT;MTOR;VEGFA;MAPK10;RAD51;GSTA4"
"Proteoglycans in cancer","84/205",5.82650335740644e-12,6.13725020313478e-10,0,0,2.79448364416861,72.289390950597,"ITGB1;CDKN1A;PIK3CD;ELK1;ACTB;ACTG1;IGF1R;PPP1CB;PLAU;MYC;CASP3;AKT3;PLCE1;TIMP3;RAC1;PRKACB;HRAS;MAP2K1;ARHGEF12;PPP1R12A;HGF;ITGA2;MMP2;WNT5A;GAB1;RRAS2;ANK2;SMO;PIK3CA;ARHGEF1;RAF1;PPP1R12B;TP53;MET;PPP1R12C;SOS2;CAMK2D;SDC4;ROCK1;ROCK2;SDC2;PXN;CAMK2A;TWIST2;ITPR1;PIK3R3;ITPR2;PIK3R1;CBL;HIF1A;THBS1;EGFR;NRAS;RRAS;GPC1;PLCG2;FLNA;FLNB;WNT2;MAPK3;TGFB2;FZD5;FZD4;CAV2;LUM;FZD7;CAV1;FZD6;STAT3;FZD8;PTPN11;IGF1;MAPK14;ESR1;MTOR;PPP1CA;VEGFA;COL1A1;MAPK11;COL1A2;MDM2;PDCD4;SDC1;HPSE"
"Human papillomavirus infection","116/331",1.28641206401647e-10,1.01626553057301e-08,0,0,2.17664418664175,49.5708814996155,"RB1;TNC;RBPJ;CCND3;CCND2;CREB3L1;AKT3;CREB3L2;ATP6V1E1;PRKACB;MAGI1;PDGFRB;MAP2K1;ATP6V0E1;WNT5A;HLA-B;HLA-A;TICAM1;HLA-E;COL4A2;COL4A1;COL4A4;COL4A3;TBPL1;COL4A5;ATP6V0D1;RAF1;TP53;LLGL1;ATP6V1A;NOTCH3;NOTCH1;PXN;PIK3R3;PIK3R1;PSEN1;FOXO1;ATP6V0A2;DVL2;WNT2;ATP6V0A1;JAG1;FZD5;FZD4;FZD7;FZD6;FZD8;COL1A1;COL1A2;CDK6;DLG3;CDK4;RHEB;ITGA10;ITGA11;TADA3;MDM2;COL9A2;ITGB1;CDKN1A;PTEN;PIK3CD;CHD4;LAMC2;LAMC1;TCIRG1;IKBKB;LFNG;CASP3;ITGB8;HRAS;ATP6V0B;CHUK;ITGA4;ITGA3;ITGA2;ITGA1;AXIN2;CCNA2;RBL2;CREB1;PKM;PIK3CA;NFX1;TRAF3;IRF1;ITGA8;COL6A3;ITGA7;COL6A6;ITGA6;SOS2;TLR3;CREB5;HDAC2;TNXB;LAMA2;LAMA3;PARD6G;PTGS2;THBS2;THBS1;EGFR;RELA;PPP2CB;NRAS;MAPK3;BCAP31;TCF7L1;LAMB3;STAT1;MX1;LAMB1;PPP2R3A;MTOR;VEGFA"
"Regulation of actin cytoskeleton","84/218",2.44467580633107e-10,1.54503510960124e-08,0,0,2.52130815837037,55.8014368745728,"CYFIP2;CHRM2;ITGB1;NCKAP1;PIK3CD;WASL;FGF1;ACTB;ACTG1;PPP1CB;CFL1;BDKRB2;RAC3;BDKRB1;ITGB8;RAC1;HRAS;GIT1;PDGFRB;ACTR3;PDGFRA;ACTR2;MAP2K1;ARHGEF12;PPP1R12A;ITGA4;ITGA3;ACTN1;ITGA2;ITGA1;RRAS2;ACTN4;PIK3CA;SPATA13;ITGA8;ITGA7;MYH9;ARHGEF1;ITGA6;ARHGEF7;RAF1;PPP1R12B;MYL9;CRK;PPP1R12C;SOS2;VCL;PFN2;ROCK1;ROCK2;PXN;LPAR1;PIK3R3;PIK3R1;MYL12A;EGFR;FGD1;MYL12B;NRAS;RRAS;PDGFC;GNA12;PIP5K1A;PAK3;WASF1;MYH10;WASF2;MAPK3;GSN;LIMK1;ARPC4;ARPC5;SSH2;PPP1CA;DIAPH1;DIAPH2;CXCL12;DIAPH3;ARPC3;ITGA10;ITGA11;FGFR4;FGFR2;FGF10"
"AGE-RAGE signaling pathway in diabetic complications","47/100",1.29768754574244e-09,6.10892432091966e-08,0,0,3.55163053794465,72.6758861636997,"PIK3R3;PIK3CD;PIK3R1;FOXO1;RELA;NRAS;CASP3;AKT3;PIM1;PLCG2;PLCE1;RAC1;JAK2;HRAS;MAPK3;STAT5A;STAT5B;JUN;TGFB2;SMAD3;VCAM1;STAT1;PRKCE;MMP2;STAT3;VEGFC;MAPK14;F3;AGT;TGFBR2;VEGFA;COL1A1;MAPK10;DIAPH1;MAPK11;COL3A1;COL1A2;PLCB4;COL4A2;PIK3CA;COL4A1;CDK4;COL4A4;COL4A3;BCL2;COL4A5;PLCB1"
"Chronic myeloid leukemia","39/76",1.35324272931765e-09,6.10892432091966e-08,0,0,4.21727450341908,86.1199593574618,"RB1;CDKN1A;HDAC2;SHC3;CTBP1;PIK3CD;PIK3R3;PIK3R1;CBL;RELA;IKBKB;NRAS;MYC;AKT3;HRAS;MAPK3;STAT5A;STAT5B;MAP2K1;TGFB2;SMAD3;CHUK;GADD45B;CDKN2A;PTPN11;GAB2;DDB2;RUNX1;TGFBR2;GADD45G;NFKBIA;CDK6;PIK3CA;CDK4;MDM2;RAF1;CRK;SOS2;TP53"
"Cellular senescence","64/156",1.75126139316231e-09,6.91748250299113e-08,0,0,2.79121868719593,56.2791456440913,"RB1;CDKN1A;PTEN;PIK3CD;FOXM1;PPP1CB;CCND3;CCND2;MYC;AKT3;CAPN1;NBN;HRAS;LIN52;MAP2K3;MAP2K1;HLA-B;RRAS2;HLA-A;HLA-E;TGFBR2;CCNA2;RBL2;PIK3CA;MAPKAPK2;VDAC2;RAF1;SQSTM1;TP53;SLC25A4;ITPR1;ITPR2;PIK3R3;PIK3R1;FOXO3;FOXO1;ZFP36L2;RELA;ZFP36L1;NRAS;RRAS;E2F4;MAP2K6;MAPK3;TGFB2;CDKN2B;SMAD3;GADD45B;CDKN2A;MAPK14;HIPK3;MTOR;GADD45G;NFATC4;HIPK2;PPP1CA;MAPK11;CDK6;CDK4;RHEB;TRPV4;MDM2;RAD1;CALM1"
"Longevity regulating pathway","47/102",2.92305078915708e-09,1.02631561041515e-07,0,0,3.42205048472654,67.2454752084689,"HDAC2;PRKAA1;IRS1;EHMT2;ADCY4;PIK3R3;PIK3CD;PRKAG2;ADCY3;IRS2;PIK3R1;ADCY1;ADIPOR1;FOXO3;ADCY8;ADIPOR2;FOXO1;RELA;IGF1R;CAMKK2;NRAS;SESN3;CREB3L1;AKT3;CREB3L2;SESN2;EIF4EBP2;PRKACB;HRAS;HSPA8;INSR;HSPA6;HSPA2;IGF1;SOD2;MTOR;CREB1;PIK3CA;RHEB;CAMK4;CAT;PPARG;EIF4E2;TP53;CRYAB;ATF4;CREB5"
"Pancreatic cancer","37/76",2.2358579272951e-08,7.0653110502525e-07,0,0,3.79344371968557,66.8255159725319,"RB1;CDKN1A;RALA;RALB;PIK3CD;PIK3R3;PIK3R1;PLD1;EGFR;RELA;IKBKB;AKT3;RAC3;RAC1;RALGDS;MAPK3;MAP2K1;RALBP1;TGFB2;SMAD3;CHUK;GADD45B;CDKN2A;STAT1;STAT3;MTOR;DDB2;TGFBR2;GADD45G;VEGFA;MAPK10;CDK6;RAD51;PIK3CA;CDK4;RAF1;TP53"
"Small cell lung cancer","42/92",2.79059382564661e-08,8.01661499003934e-07,0,0,3.36063300678222,58.4562832587503,"ITGB1;RB1;CDKN1A;LAMA2;LAMA3;PTEN;PIK3CD;PIK3R3;LAMC2;LAMC1;PIK3R1;PTGS2;RELA;IKBKB;RXRA;CASP3;MYC;AKT3;SKP2;CDKN2B;CHUK;GADD45B;LAMB3;ITGA3;ITGA2;LAMB1;DDB2;GADD45G;NFKBIA;CDK6;COL4A2;PIK3CA;TRAF4;COL4A1;TRAF3;CDK4;COL4A4;COL4A3;BCL2;COL4A5;ITGA6;TP53"
"Relaxin signaling pathway","52/129",1.11902396433508e-07,2.74472673770148e-06,0,0,2.70401972743952,43.2795630817193,"PIK3CD;RXFP1;EDNRB;CREB3L1;AKT3;CREB3L2;PRKACB;HRAS;MAP2K1;MMP2;TGFBR2;ACTA2;CREB1;PLCB4;COL4A2;PIK3CA;COL4A1;COL4A4;COL4A3;COL4A5;RAF1;PLCB1;SOS2;ATF4;CREB5;SHC3;ADCY4;PIK3R3;ADCY3;PIK3R1;ADCY1;ADCY8;EGFR;GNAI1;RELA;NRAS;GNG2;GNG5;MAPK3;JUN;VEGFC;MAPK14;GNG11;VEGFA;COL1A1;NFKBIA;MAPK10;MAPK11;COL3A1;COL1A2;GNB2;GNB4"
"Neurotrophin signaling pathway","49/119",1.1781440929837e-07,2.74472673770148e-06,0,0,2.80193759436336,44.7025473902208,"IRS1;PIK3CD;IKBKB;RPS6KA5;ARHGDIA;RPS6KA2;AKT3;RAC1;HRAS;MAP3K5;MAP2K1;GAB1;IRAK3;NGF;PIK3CA;MAPKAPK2;RAF1;TP53;CRK;SOS2;ATF4;ZNF274;CAMK2D;SHC3;MAGED1;CAMK2A;PIK3R3;PIK3R1;PSEN1;FOXO3;RELA;RAP1B;NRAS;MAPK7;IRAK2;PLCG2;MAPK3;MAP3K3;JUN;SORT1;PTPN11;MAPK14;NFKBIA;MAPK10;MAPK11;CAMK4;BCL2;CALM1;NFKBIB"
"Axon guidance","67/182",1.21601817493103e-07,2.74472673770148e-06,0,0,2.33603112498351,37.195488107525,"EPHB6;SEMA5A;ITGB1;ROBO3;LRRC4;PIK3CD;ROBO1;CFL1;BOC;RAC3;RAC1;EPHB2;HRAS;NEO1;EPHB4;EPHB3;EPHA5;EPHA4;SEMA6C;ARHGEF12;TRPC6;UNC5B;SEMA6D;WNT5A;SMO;PIK3CA;RAF1;MYL9;MET;CAMK2D;ROCK1;ROCK2;SEMA3D;SEMA3A;CAMK2A;SEMA3B;NTN4;PIK3R3;PARD6G;PIK3R1;EFNA4;NTN1;MYL12A;GNAI1;MYL12B;EFNB1;ABLIM1;NRAS;RRAS;PLCG2;PLXNA2;SRGAP3;SLIT2;PAK3;PLXNA4;MAPK3;NTNG1;LIMK1;SEMA4C;PTPN11;SSH2;GDF7;NFATC4;CXCL12;PLXNB2;PLXNB1;BMPR1B"
"Platelet activation","50/124",1.9251679055938e-07,3.97313742079702e-06,0,0,2.70457343827593,41.8210421042123,"ITGB1;PIK3CD;ACTB;ACTG1;PPP1CB;AKT3;PRKG2;PRKACB;PRKG1;GUCY1A2;ARHGEF12;PPP1R12A;ITGA2;PLA2G4C;PLA2G4A;PLCB4;STIM1;PIK3CA;ARHGEF1;TLN2;TLN1;PLCB1;ROCK1;ROCK2;ITPR1;ADCY4;ITPR2;PIK3R3;ADCY3;PIK3R1;ADCY1;RASGRP2;ADCY8;MYL12A;GNAI1;MYL12B;PTGS1;RAP1B;TBXA2R;PLCG2;MAPK3;VASP;MAPK14;PPP1CA;COL1A1;MAPK11;COL3A1;COL1A2;FCGR2A;GNAQ"
"Glioma","35/75",2.01171514977064e-07,3.97313742079702e-06,0,0,3.49670887662989,53.9161317587814,"RB1;CDKN1A;CAMK2D;SHC3;CAMK2A;PTEN;PIK3CD;PIK3R3;PIK3R1;EGFR;IGF1R;NRAS;AKT3;PLCG2;HRAS;MAPK3;PDGFRB;PDGFRA;MAP2K1;CAMK1D;GADD45B;CDKN2A;IGF1;MTOR;DDB2;GADD45G;CDK6;PIK3CA;CDK4;CAMK4;MDM2;RAF1;CALM1;SOS2;TP53"
"PI3K-Akt signaling pathway","111/354",3.08360532264834e-07,5.73187812915809e-06,0,0,1.83720240349416,27.5433314136782,"CHRM2;CSF1;IRS1;TNC;FGF1;IGF1R;CCND3;CCND2;CREB3L1;MYC;AKT3;CREB3L2;IL6R;MAGI1;PDGFRB;PDGFRA;MAP2K1;HGF;COL4A2;COL4A1;COL4A4;DDIT4;COL4A3;COL4A5;RAF1;TP53;ATF4;LPAR1;PIK3R3;PIK3R1;FOXO3;EFNA4;BCL2L11;PDGFC;THEM4;MCL1;INSR;IGF1;GNG11;COL1A1;NR4A1;COL1A2;CDK6;CDK4;RHEB;GNB2;ITGA10;ITGA11;BCL2;GNB4;MDM2;COL9A2;FGFR4;FGFR2;FGF10;ITGB1;CDKN1A;HSP90AB1;PTEN;PIK3CD;LAMC2;BRCA1;LAMC1;IKBKB;ITGB8;RAC1;JAK2;HRAS;HSP90AA1;CHUK;ITGA4;ITGA3;ITGA2;ITGA1;OSMR;NGF;RBL2;CREB1;PIK3CA;ITGA8;COL6A3;ITGA7;SGK3;COL6A6;ITGA6;SGK1;EIF4E2;MET;SOS2;CREB5;PRKAA1;TNXB;LAMA2;LAMA3;THBS2;THBS1;EGFR;RELA;PPP2CB;NRAS;RXRA;GNG2;GNG5;MAPK3;ANGPT1;LAMB3;VEGFC;LAMB1;PPP2R3A;MTOR;VEGFA"
"Rap1 signaling pathway","73/210",4.68242422063362e-07,8.22025585400125e-06,0,0,2.13678277741846,31.1420698119663,"ITGB1;CSF1;PIK3CD;SIPA1L2;FGF1;ACTB;ACTG1;IGF1R;SIPA1L1;AKT3;PLCE1;RAC3;RAC1;HRAS;MAGI1;MAP2K3;PDGFRB;PDGFRA;MAP2K1;HGF;MAGI3;ARAP3;NGF;PLCB4;PIK3CA;EVL;PRKD1;TLN2;TLN1;PLCB1;RAPGEF5;RAF1;CRK;MET;PFN2;RAPGEF4;RALA;RALB;LPAR1;ADCY4;PIK3R3;ADCY3;PARD6G;PIK3R1;ADCY1;ADCY8;RASGRP2;EFNA4;THBS1;EGFR;GNAI1;RAP1B;NRAS;RRAS;PDGFC;RALGDS;MAP2K6;MAPK3;VASP;FARP2;ANGPT1;INSR;VEGFC;IGF1;MAPK14;VEGFA;MAPK11;GNAQ;CALM1;FGFR4;SIPA1;FGFR2;FGF10"
"FoxO signaling pathway","51/131",5.32246740331134e-07,8.51970066937365e-06,0,0,2.55144448640483,36.8585718564352,"CDKN1A;IRS1;PTEN;PIK3CD;PRKAG2;IRS2;IGF1R;IKBKB;CCND2;AKT3;TNFSF10;SKP2;HRAS;GABARAPL2;GABARAPL1;MAP2K1;CHUK;TGFBR2;RBL2;PIK3CA;CAT;SGK3;RAF1;SGK1;SOS2;PRKAA1;PIK3R3;PIK3R1;FOXO3;FOXO1;EGFR;NRAS;BCL2L11;S1PR1;MAPK3;TGFB2;CDKN2B;SMAD3;GADD45B;INSR;PLK2;STAT3;IGF1;FBXO32;MAPK14;SOD2;GADD45G;MAPK10;MAPK11;BCL6;MDM2"
"Prostate cancer","41/97",5.39221561352763e-07,8.51970066937365e-06,0,0,2.92728438688383,42.2499032987293,"RB1;CDKN1A;HSP90AB1;PTEN;PIK3R3;PIK3CD;PIK3R1;FOXO1;EGFR;RELA;IGF1R;IKBKB;NRAS;PLAU;CREB3L1;AKT3;CREB3L2;PDGFC;HRAS;MAPK3;PDGFRB;PDGFRA;MAP2K1;HSP90AA1;TCF7L1;CHUK;IGF1;ETV5;MTOR;NFKBIA;CREB1;ZEB1;PIK3CA;BCL2;MDM2;RAF1;TP53;SOS2;FGFR2;ATF4;CREB5"
