"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Pathways in cancer","83/531",3.96320950190677e-07,0.000122066852658728,0,0,1.92161293182577,28.3265759243924,"CDKN1A;HSP90AB1;PTEN;GLI3;BBC3;GLI2;EDNRA;RPS6KA5;CCND2;SUFU;PIM1;BDKRB2;BDKRB1;IL12A;PRKACB;HSP90AA1;ITGA2;PLEKHG5;HGF;MMP2;WNT5A;DDB2;MSH2;SMO;TRAF4;TRAF3;COL4A5;PLCB1;TP53;HDAC2;RALA;NOTCH1;CTBP1;EPAS1;CAMK2A;ADCY4;PIK3R3;ADCY1;ADCY8;PTGS2;PLD1;DLL1;EGFR;LRP6;BCL2L11;GNG2;DVL2;HMOX1;RALGDS;WNT2;RUNX1T1;MAPK3;JAG2;GSTM3;NQO1;GSTM2;JUN;CDKN2B;TGFB2;TCF7L1;JAG1;SMAD3;LAMB3;CDKN2A;FZD7;VEGFC;IGF1;MLH1;ESR1;AGT;GADD45G;VEGFA;MAPK10;CDK6;CXCL12;GSTA4;CDK4;BCL2;MDM2;FGFR4;FGFR2;GSTM5;FGF10"
"Human papillomavirus infection","56/331",2.71459696731206e-06,0.000418047932966058,0,0,2.09959746981024,26.910261654815,"CDKN1A;TNC;PTEN;CHD4;RBPJ;LFNG;CCND2;CREB3L1;ITGB8;PRKACB;ITGA2;WNT5A;HLA-B;HLA-A;CREB1;PKM;NFX1;TRAF3;IRF1;COL4A5;COL6A3;ITGA7;COL6A6;ATP6V0D1;TP53;LLGL1;TLR3;CREB5;ATP6V1A;HDAC2;TNXB;NOTCH1;PXN;PIK3R3;PARD6G;PTGS2;THBS2;EGFR;DVL2;WNT2;MAPK3;TCF7L1;JAG1;LAMB3;FZD7;MX1;PPP2R3A;VEGFA;COL1A1;COL1A2;CDK6;DLG3;CDK4;ITGA11;MDM2;COL9A2"
"p53 signaling pathway","20/73",4.24471082279065e-06,0.000435790311139841,0,0,3.85904863141111,47.735802014473,"CDKN1A;CDKN2A;GORAB;PTEN;TNFRSF10B;IGF1;PPM1D;BBC3;DDB2;GADD45G;CCND2;CDK6;TP53I3;SESN3;ZMAT3;CDK4;SESN2;BCL2;MDM2;TP53"
"Inflammatory mediator regulation of TRP channels","21/98",0.000135471658768066,0.0104313177251411,0,0,2.7869222096956,24.822414095789,"TRPA1;PRKCE;PLA2G4C;CAMK2A;ADCY4;PIK3R3;PLA2G4A;IGF1;HTR2A;ADCY1;NGF;ADCY8;MAPK10;HRH1;BDKRB2;BDKRB1;ASIC2;PLCB1;PRKACB;ASIC1;MAP2K6"
"Colorectal cancer","19/86",0.000182272131228191,0.0112279632836566,0,0,2.89617789431222,24.9361199399019,"CDKN1A;RALA;JUN;TCF7L1;TGFB2;SMAD3;PIK3R3;MLH1;EGFR;BBC3;DDB2;GADD45G;MAPK10;BCL2L11;MSH2;BCL2;TP53;RALGDS;MAPK3"
"Pancreatic cancer","17/76",0.000334792548726717,0.0171860175013048,0,0,2.94066843339498,23.5312272616182,"CDKN1A;RALA;TGFB2;SMAD3;CDKN2A;PIK3R3;PLD1;EGFR;DDB2;GADD45G;VEGFA;MAPK10;CDK6;CDK4;TP53;RALGDS;MAPK3"
"Hepatocellular carcinoma","29/168",0.000460601393167599,0.0183254169508882,0,0,2.13429528178137,16.3977427262515,"CDKN1A;SMARCB1;PTEN;PIK3R3;EGFR;LRP6;DVL2;DPF3;HMOX1;WNT2;MAPK3;GSTM3;NQO1;GSTM2;TGFB2;TCF7L1;SMAD3;CDKN2A;HGF;FZD7;WNT5A;GAB1;GADD45G;DDB2;CDK6;GSTA4;CDK4;TP53;GSTM5"
"AGE-RAGE signaling pathway in diabetic complications","20/100",0.000505529732643989,0.0183254169508882,0,0,2.55281690140845,19.3756344529448,"JUN;TGFB2;SMAD3;VCAM1;PRKCE;MMP2;PIK3R3;VEGFC;AGT;VEGFA;COL1A1;MAPK10;COL3A1;COL1A2;CDK4;PIM1;BCL2;COL4A5;PLCB1;MAPK3"
"Melanoma","16/72",0.000535482962850629,0.0183254169508882,0,0,2.91479964667148,21.955266296136,"CDKN1A;CDKN2A;HGF;PTEN;PIK3R3;IGF1;EGFR;DDB2;GADD45G;CDK6;CDK4;PDGFC;MDM2;TP53;MAPK3;FGF10"
"Cushing syndrome","27/155",0.000614783559059134,0.0189353336190213,0,0,2.15674049066742,15.9474574281289,"SCARB1;CDKN1A;KMT2A;CAMK2A;ADCY4;CACNA1C;ADCY1;ADCY8;EGFR;CACNA1G;CREB3L1;DVL2;PRKACB;WNT2;MAPK3;CDKN2B;TCF7L1;CDKN2A;FZD7;WNT5A;AGT;CDK6;CREB1;CDK4;PLCB1;ATF4;CREB5"
