"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Focal adhesion","61/201",5.19154853942191e-14,1.6353377899179e-11,0,0,3.61058362369338,110.444717556791,"ITGB1;PIK3CD;LAMC2;LAMC1;ELK1;ACTB;ACTG1;IGF1R;PPP1CB;CCND3;AKT3;RAC3;RAC1;HRAS;PDGFRB;PDGFRA;MAP2K1;PPP1R12A;ITGA4;ITGA3;ACTN1;ITGA1;ACTN4;COL4A2;PIK3CA;COL4A1;COL4A4;COL4A3;ITGA8;ITGA6;TLN1;RAF1;PPP1R12B;MYL9;CRK;MET;PPP1R12C;SOS2;VCL;SHC3;LAMA2;ROCK1;ROCK2;LAMA3;PIK3R1;THBS1;MYL12A;MYL12B;RAP1B;PIP5K1A;FLNA;FLNB;VASP;CAV2;CAV1;PARVA;LAMB1;PPP1CA;DIAPH1;ITGA10;ZYX"
"Regulation of actin cytoskeleton","62/218",8.14015885647053e-13,1.28207501989411e-10,0,0,3.2919479238109,91.6372844883658,"ITGB1;NCKAP1;PIK3CD;WASL;FGF1;ACTB;ACTG1;PPP1CB;CFL1;RAC3;RAC1;HRAS;GIT1;PDGFRB;ACTR3;PDGFRA;ACTR2;MAP2K1;ARHGEF12;PPP1R12A;ITGA4;ITGA3;ACTN1;ITGA1;RRAS2;ACTN4;PIK3CA;ITGA8;MYH9;ARHGEF1;ITGA6;RAF1;PPP1R12B;MYL9;CRK;PPP1R12C;SOS2;VCL;ROCK1;ROCK2;LPAR1;PIK3R1;MYL12A;MYL12B;NRAS;RRAS;GNA12;PIP5K1A;WASF1;MYH10;WASF2;FGF22;GSN;ARPC4;ARPC5;SSH2;PPP1CA;DIAPH1;DIAPH2;DIAPH3;ARPC3;ITGA10"
"Shigellosis","61/246",6.06984127165912e-10,6.37333333524207e-08,0,0,2.72537396683738,57.8392993620959,"ITGB1;ARF1;CALCOCO2;PIK3CD;WASL;FNBP1L;ACTB;ACTG1;IKBKB;AKT3;PLCE1;RAC1;CAPN1;CAST;ACTR3;GABARAPL2;ACTR2;GABARAPL1;CHUK;FNBP1;ACTN1;WIPI1;ACTN4;WIPI2;PLCB4;PIK3CA;ELMO1;PIK3C3;TLN1;MYL9;CRK;VCL;ARF6;ROCK1;ROCK2;CUL1;ITPR1;ITPR2;PIK3R1;FOXO3;MYL12A;RELA;FOXO1;MALT1;MYL12B;CYTH3;PLCG2;WASF1;WASF2;ARPC4;ARPC5;MAPK14;MTOR;NFKBIA;DIAPH1;MAPK11;TNIP1;ARPC3;ATG16L1;UBE2N;NFKBIB"
"Proteoglycans in cancer","53/205",1.65030592341719e-09,1.29961591469104e-07,0,0,2.87664473684211,58.1723876998295,"ITGB1;PIK3CD;ELK1;ACTB;ACTG1;IGF1R;PPP1CB;MYC;CASP3;AKT3;PLCE1;RAC1;HRAS;MAP2K1;ARHGEF12;PPP1R12A;RRAS2;PIK3CA;ARHGEF1;RAF1;PPP1R12B;MET;PPP1R12C;SOS2;CAMK2D;ROCK1;ROCK2;SDC2;TWIST2;ITPR1;ITPR2;PIK3R1;CBL;HIF1A;THBS1;NRAS;RRAS;PLCG2;FLNA;FLNB;FZD5;FZD4;CAV2;CAV1;FZD6;STAT3;FZD8;PTPN11;MAPK14;MTOR;PPP1CA;MAPK11;HPSE"
"Yersinia infection","39/137",1.32876512434569e-08,8.37122028337785e-07,0,0,3.27180092092547,59.3387907024098,"ITGB1;ROCK1;ROCK2;ARHGEF28;PIK3CD;PIK3R1;WASL;ACTB;RELA;ACTG1;IKBKB;RPS6KA2;AKT3;PIP5K1A;RAC3;PTK2B;RAC1;WASF2;MAP2K3;ACTR3;ACTR2;GIT2;MAP2K1;ARHGEF12;CHUK;ITGA4;ARPC4;ARPC5;TICAM1;MAPK14;NFKBIA;MAPK11;PIK3CA;ARPC3;GNAQ;ELMO1;ARHGEF1;CRK;ARF6"
"Cellular senescence","42/156",2.24233855919341e-08,1.17722774357654e-06,0,0,3.03043871883335,53.3756063374244,"RB1;ITPR1;ITPR2;PIK3CD;PIK3R1;FOXO3;FOXO1;ZFP36L2;RELA;PPP1CB;CCND3;NRAS;RRAS;MYC;AKT3;CAPN1;E2F4;HRAS;LIN52;MAP2K3;MAP2K1;GADD45B;RRAS2;MAPK14;HIPK3;MTOR;HLA-E;TGFBR2;HIPK2;PPP1CA;CCNA2;RBL2;MAPK11;PIK3CA;RHEB;TRPV4;MAPKAPK2;VDAC2;RAD1;RAF1;CALM1;SLC25A4"
"Bacterial invasion of epithelial cells","26/77",8.18600474484363e-08,3.68370213517963e-06,0,0,4.17723970067953,68.1652617389409,"ITGB1;SHC3;CLTB;PIK3CD;WASL;PIK3R1;CBL;ACTB;ACTG1;CLTCL1;RAC1;WASF1;WASF2;ACTR3;ACTR2;CAV2;CAV1;ARPC4;ARPC5;ARHGAP10;PIK3CA;ARPC3;ELMO1;CRK;MET;VCL"
"Neurotrophin signaling pathway","34/119",1.00580647928893e-07,3.96036301220018e-06,0,0,3.28337193144975,52.902693154105,"CAMK2D;SHC3;IRS1;PIK3CD;PIK3R1;PSEN1;FOXO3;RELA;RAP1B;IKBKB;NRAS;MAPK7;ARHGDIA;RPS6KA2;AKT3;PLCG2;RAC1;HRAS;MAP3K5;MAP3K3;MAP2K1;SORT1;IRAK3;PTPN11;MAPK14;NFKBIA;MAPK11;PIK3CA;MAPKAPK2;RAF1;CALM1;CRK;SOS2;NFKBIB"
"Autophagy","37/137",1.38477324501996e-07,4.84670635756987e-06,0,0,3.03877087198516,47.9899690330635,"PRKAA1;IRS1;MTMR14;ITPR1;PIK3CD;IRS2;PIK3R1;HIF1A;TANK;IGF1R;CAMKK2;PPP2CB;NRAS;RRAS;TP53INP2;AKT3;HRAS;SH3GLB1;GABARAPL2;GABARAPL1;MAP2K1;DAPK2;ATG9A;DAPK3;RRAS2;WIPI1;WIPI2;CFLAR;MTOR;VMP1;PIK3CA;ATG16L1;RHEB;DDIT4;ULK2;PIK3C3;RAF1"
"Chronic myeloid leukemia","25/76",2.56875061873156e-07,8.09156444900442e-06,0,0,4.01472397076912,60.9221355293231,"RB1;SHC3;PIK3CD;PIK3R1;CBL;RELA;IKBKB;NRAS;MYC;AKT3;HRAS;STAT5A;STAT5B;MAP2K1;CHUK;GADD45B;PTPN11;GAB2;RUNX1;TGFBR2;NFKBIA;PIK3CA;RAF1;CRK;SOS2"
